county_name,FIPS,rep,Birthdate,party,dis,phone,start,end,helper,salary,ops,staff,travel,totals,staffsize,fulltimestafftotal,staffavg,FullTerm,,AdjOps,AdjStaff,AdjTravel,AdjTotal,AdjStaffTotal,AdjStaffAverage
New York,61,Jerry Nadler,6/13/1947,Democrat,district 12,(212) 367-7350,11/3/1992,"Thursday, November 5, 2026",1,174000,328517,1434641.93,57975.76,1821134.69,12,657800,54816.66667,Yes,12,328517,1434641.93,57975.76,1821134.69,657800,54816.66667
Kings,47,Nydia Velázquez,3/28/1953,Democrat,district 7,(718) 599-3658,1/3/1993,"Thursday, November 5, 2026",1,174000,327615,1329769.51,26944.31,1684328.82,14,696125,49723.21429,Yes,12,327615,1329769.51,26944.31,1684328.82,696125,49723.21429
Queens,81,Nydia Velázquez,3/28/1953,Democrat,district 7,(718) 599-3658,1/3/1993,"Thursday, November 5, 2026",0,174000,327615,1329769.51,26944.31,1684328.82,14,696125,49723.21429,Yes,12,327615,1329769.51,26944.31,1684328.82,696125,49723.21429
Queens,81,Gregory Meeks,9/25/1953,Democrat,district 5,(718) 725-6000,2/5/1998,"Thursday, November 5, 2026",1,174000,473884,1446875.38,13923.38,1934682.76,10,553700,55370,Yes,12,473884,1446875.38,13923.38,1934682.76,553700,55370
Erie,29,Tim Kennedy,10/20/1976,Democrat,district 26,(716) 852-3501,5/6/2024,"Thursday, November 5, 2026",1,174000,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Niagara,63,Tim Kennedy,6/23/1978,Democrat,district 26,(716) 852-3501,5/6/2024,"Thursday, November 5, 2026",0,174000,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
Kings,47,Yvette Clarke,11/21/1964,Democrat,district 9,(718) 287-1142,1/3/2007,"Thursday, November 5, 2026",1,174000,281071,1386238.39,19970.88,1687280.27,10,544379,54437.9,Yes,12,281071,1386238.39,19970.88,1687280.27,544379,54437.9
Albany,1,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",1,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Rensselaer,83,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",0,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Saratoga,91,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",0,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Schenectady,93,Paul Tonko,6/18/1949,Democrat,district 20,(518) 465-0700,1/3/2009,"Thursday, November 5, 2026",0,174000,246158,1603362.64,47442.57,1896963.21,12,647181,53931.75,Yes,12,246158,1603362.64,47442.57,1896963.21,647181,53931.75
Queens,81,Grace Meng,10/1/1975,Democrat,district 6,(718) 358-6364,1/3/2013,"Thursday, November 5, 2026",1,174000,253245,1479210.26,35016.38,1767471.64,12,596833,49736.08333,Yes,12,253245,1479210.26,35016.38,1767471.64,596833,49736.08333
Kings,47,Hakeem Jeffries,8/4/1970,Democrat,district 8,(718) 237-2211,1/3/2013,"Thursday, November 5, 2026",1,193400,505858,1256552.69,63244.76,1825655.45,12,578167,48180.58333,Yes,12,505858,1256552.69,63244.76,1825655.45,578167,48180.58333
Queens,81,Hakeem Jeffries,8/4/1970,Democrat,district 8,(718) 237-2211,1/3/2013,"Thursday, November 5, 2026",0,193400,505858,1256552.69,63244.76,1825655.45,12,578167,48180.58333,Yes,12,505858,1256552.69,63244.76,1825655.45,578167,48180.58333
