NAME,COUNTY,MUNI_TYPE,pop,FIPS_CODE,district,rep,party,start,phone,email
Albany,Albany,City,"99,224",3600101000,109,Patricia Fahy,Democrat,2013,(518) 455-4178,FahyP@nyassembly.gov
Berne,Albany,Town,"2,689",3600106211,102,Chris Tague,Republican,2019,(518) 943-1371,taguec@nyassembly.gov
Bethlehem,Albany,Town,"35,034",3600106354,102,Chris Tague,Republican,2019,(518) 943-1371,taguec@nyassembly.gov
Bethlehem,Albany,Town,"35,034",3600106354,107,Scott Bendett,Republican,2023,(518) 272-6149,bendetts@nyassembly.gov
Coeymans,Albany,Town,"7,256",3600116694,102,Chris Tague,Republican,2019,(518) 943-1371,taguec@nyassembly.gov
Cohoes,Albany,City,"18,147",3600116749,108,John McDonald,Democrat,2013,(518) 455-4474,McDonaldJ@nyassembly.gov
Colonie,Albany,Town,"85,590",3600117343,110,Phil Steck,Democrat,2013,(518) 377-0902,SteckP@nyassembly.gov
Green Island,Albany,Town,"2,934",3600130532,108,John McDonald,Democrat,2013,(518) 455-4474,McDonaldJ@nyassembly.gov
Guilderland,Albany,Town,"36,848",3600131104,109,Patricia Fahy,Democrat,2013,(518) 455-4178,FahyP@nyassembly.gov
Guilderland,Albany,Town,"36,848",3600131104,110,Phil Steck,Democrat,2013,(518) 377-0902,SteckP@nyassembly.gov
Knox,Albany,Town,"2,635",3600140002,102,Chris Tague,Republican,2019,(518) 943-1371,taguec@nyassembly.gov
New Scotland,Albany,Town,"9,096",3600150672,109,Patricia Fahy,Democrat,2013,(518) 455-4178,FahyP@nyassembly.gov
Rensselaerville,Albany,Town,"1,826",3600161181,102,Chris Tague,Republican,2019,(518) 943-1371,taguec@nyassembly.gov
Watervliet,Albany,City,"10,375",3600178674,108,John McDonald,Democrat,2013,(518) 455-4474,McDonaldJ@nyassembly.gov
Westerlo,Albany,Town,"3,194",3600179851,102,Chris Tague,Republican,2019,(518) 943-1371,taguec@nyassembly.gov
