County,District,Senator,Party,TermStart,Phone,Email
Albany,43,Jake Ashby,Republican,2023,(518) 371-2751,ashby@nysenate.gov
Albany,46,Neil Breslin,Democrat,1997,(518) 455-2225,breslin@nysenate.gov
Allegany,57,George Borrello,Republican,2019,(716) 664-4603,borrello@nysenate.gov
Allegany,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
Bronx,29,Jose Serrano,Democrat,2005,(212)-828-5829,serrano@nysenate.gov
Bronx,31,Robert Jackson,Democrat,2019,(212) 544-0173,jackson@nysenate.gov
Bronx,32,Luis Sepulveda,Democrat,2019,(718) 991-3161,sepulveda@nysenate.gov
Bronx,33,Gustavo Rivera,Democrat,2011,(718) 933-2825,grivera@nysenate.gov
Bronx,34,Nathalia Fernandez,Democrat,2023,(718) 822-2049,fernandez@nysenate.gov
Bronx,36,Jamaal Bailey,Democrat,2017,(718) 547-8854,senatorjbailey@nysenate.gov
Broome,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Broome,52,Lea Webb,Democrat,2022,(607) 773-8771,leawebb@nysenate.gov
Cattaraugus,57,George Borrello,Republican,2019,(716) 664-4603,borrello@nysenate.gov
Cayuga,48,Rachel May,Democrat,2019,(315) 478-8745,may@nysenate.gov
Chautauqua,57,George Borrello,Republican,2019,(716) 664-4603,borrello@nysenate.gov
Chemung,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
Chenango,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Chenango,53,Joseph Griffo,Republican,2006,(315) 793-9072,griffo@nysenate.gov
Clinton,45,Dan Stec,Republican,2021,(518) 743-0968,stec@nysenate.gov
Columbia,41,Michelle Hinchey,Democrat,2021,(845) 331-3810,hinchey@nysenate.gov
Cortland,52,Lea Webb,Democrat,2022,(607) 773-8771,leawebb@nysenate.gov
Delaware,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Dutchess,39,Robert Rolison,Republican,2023,(845) 229-0106,rolison@nysenate.gov
Dutchess,41,Michelle Hinchey,Democrat,2021,(845) 331-3810,hinchey@nysenate.gov
Erie,60,Patrick M Gallivan,Republican,2020,(716) 656-8544,gallivan@nysenate.gov
Erie,61,Sean Ryan,Democrat,2020,(716) 854-8705,ryan@nysenate.gov
Essex,45,Dan Stec,Republican,2021,(518) 743-0968,stec@nysenate.gov
